close,epoch,high,low,open
1202.83,1749610680,1203.82,1201.25,1201.62
1201.48,1749610740,1203.08,1200.69,1203.08
1204.29,1749610800,1204.37,1201.62,1201.62
1202.52,1749610860,1204.6,1202.19,1204.57
1200.96,1749610920,1202.6,1200.83,1202.35
1200.55,1749610980,1201.41,1200.06,1200.73
1202.53,1749611040,1202.74,1200.97,1201.13
1203.41,1749611100,1203.41,1200.85,1202.07
1203.93,1749611160,1203.93,1201.22,1203.22
1203.65,1749611220,1204.64,1203.04,1203.1
1202.63,1749611280,1204.29,1202.04,1203.37
1202.96,1749611340,1203.32,1201.81,1202.54
1203.79,1749611400,1204.81,1202.63,1202.98
1203.59,1749611460,1204.34,1203.5,1203.5
